+---------------------------------------------------------------------+---------+----------+
|                                                                     |   axis  |  class   |
+---------------------------------------------------------------------+---------+----------+
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_0.tif  |  (0,0)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_1.tif  |  (0,1)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_10.tif |  (0,10) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_11.tif |  (0,11) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_12.tif |  (0,12) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_13.tif |  (0,13) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_14.tif |  (0,14) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_15.tif |  (0,15) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_16.tif |  (0,16) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_17.tif |  (0,17) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_18.tif |  (0,18) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_19.tif |  (0,19) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_2.tif  |  (0,2)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_20.tif |  (0,20) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_21.tif |  (0,21) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_22.tif |  (0,22) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_23.tif |  (0,23) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_24.tif |  (0,24) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_25.tif |  (0,25) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_26.tif |  (0,26) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_27.tif |  (0,27) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_28.tif |  (0,28) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_29.tif |  (0,29) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_3.tif  |  (0,3)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_30.tif |  (0,30) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_31.tif |  (0,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_4.tif  |  (0,4)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_5.tif  |  (0,5)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_6.tif  |  (0,6)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_7.tif  |  (0,7)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_8.tif  |  (0,8)  |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_0_9.tif  |  (0,9)  |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_0.tif |  (10,0) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_1.tif |  (10,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_10.tif | (10,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_11.tif | (10,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_12.tif | (10,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_13.tif | (10,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_14.tif | (10,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_15.tif | (10,15) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_16.tif | (10,16) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_17.tif | (10,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_18.tif | (10,18) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_19.tif | (10,19) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_2.tif |  (10,2) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_20.tif | (10,20) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_21.tif | (10,21) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_22.tif | (10,22) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_23.tif | (10,23) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_24.tif | (10,24) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_25.tif | (10,25) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_26.tif | (10,26) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_27.tif | (10,27) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_28.tif | (10,28) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_29.tif | (10,29) | bulit_up |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_3.tif |  (10,3) | bulit_up |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_30.tif | (10,30) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_31.tif | (10,31) | farmland |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_4.tif |  (10,4) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_5.tif |  (10,5) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_6.tif |  (10,6) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_7.tif |  (10,7) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_8.tif |  (10,8) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_10_9.tif |  (10,9) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_0.tif |  (11,0) |  water   |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_1.tif |  (11,1) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_10.tif | (11,10) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_11.tif | (11,11) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_12.tif | (11,12) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_13.tif | (11,13) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_14.tif | (11,14) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_15.tif | (11,15) |  water   |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_16.tif | (11,16) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_17.tif | (11,17) |  meadow  |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_18.tif | (11,18) | farmland |
| D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_19.tif | (11,19) |  meadow  |
|  D:\FILM_Network\gid\batch_predict\label_5_tabled_1\image1_11_2.tif |  (11,2) |  meadow  |
